elapsed_time,id,time,alt,lat,lng,pressure,ohm,hum,co2,temp,rssi
1:16:8,2577,15:5:37,11923.1,69.530594,15.803485,9002.04,150400.0,11.7031,13.25,-9.1797,-118
1:16:10,2578,15:5:40,11923.1,69.530594,15.803485,8989.8,150400.0,11.6172,13.25,-9.1875,-113
0:45:1,2579,15:5:42,11923.1,69.530594,15.803485,8973.66,155570.16,11.6172,13.05,-9.1797,-109
1:16:14,2580,15:5:44,11923.1,69.530594,15.803485,8967.59,155570.16,11.5703,13.05,-9.1875,-113
1:16:16,2581,15:5:46,11923.1,69.530594,15.803485,8952.4,155570.16,11.5859,13.12,-9.1484,-114
0:45:7,2582,15:5:48,11923.1,69.530594,15.803485,8938.1,155570.16,11.5703,12.99,-9.1641,-114
0:45:9,2583,15:5:51,11923.1,69.530594,15.803485,8927.05,155570.16,11.5391,13.16,-9.1797,-121
1:16:23,2584,15:5:53,11923.1,69.530594,15.803485,8918.61,155570.16,11.5156,13.39,-9.1797,-132
0:45:14,2585,15:5:55,11923.1,69.530594,15.803485,8906.04,155570.16,11.4531,13.31,-9.1875,-119
1:16:27,2586,15:5:57,11923.1,69.530594,15.803485,8895.5,155570.16,11.4375,12.88,-9.1797,-119
1:16:29,2587,15:5:59,11923.1,69.530594,15.803485,8883.6,155570.16,11.3672,13.05,-9.1641,-114
1:2:12,2588,15:6:1,11923.1,69.530594,15.803485,8871.15,155570.16,11.3516,12.94,-9.1797,-112
1:2:14,2589,15:6:4,11923.1,69.530594,15.803485,8861.43,155570.16,11.3516,12.94,-9.1797,-113
1:2:16,2590,15:6:6,11923.1,69.530594,15.803485,8850.35,155570.16,11.2812,12.87,-9.1641,-119
0:45:27,2591,15:6:8,11923.1,69.530594,15.803485,8832.71,155570.16,11.2969,12.68,-9.1641,-116
0:45:29,2592,15:6:10,11923.1,69.530594,15.803485,8824.03,155570.16,11.2031,12.32,-9.1641,-113
1:16:42,2593,15:6:12,11923.1,69.530594,15.803485,8810.11,155570.16,11.2031,12.06,-9.1484,-119
0:45:33,2594,15:6:15,11923.1,69.530594,15.803485,8796.96,150400.0,11.1641,12.01,-9.1484,-114
0:45:35,2595,15:6:17,11923.1,69.530594,15.803485,8782.47,150400.0,11.0859,12.01,-9.1016,-109
